CustomerId,CustomerName,Email,Gender,Region
7,jessy,jessy@gmail.com,male,WESTIND
10,lora,user10@gmail.com,male,WESTIND
11,lora,user11@gmail.com,female,WESTIND
25,lora,user25@gmail.com,female,WESTIND
28,Ravi,user28@gmail.com,female,WESTIND
31,hari,user31@gmail.com,female,WESTIND
35,lora,user35@gmail.com,female,WESTIND
36,Ravi,user36@gmail.com,female,WESTIND
42,laila,user42@gmail.com,male,WESTIND
43,jessy,user43@gmail.com,male,WESTIND
47,jack,user47@gmail.com,female,WESTIND
52,meena,user52@gmail.com,female,WESTIND
58,lora,user58@gmail.com,male,WESTIND
64,Ravi,user64@gmail.com,female,WESTIND
65,Ravi,user65@gmail.com,male,WESTIND
83,laila,user83@gmail.com,male,WESTIND
90,Ravi,user90@gmail.com,female,WESTIND
91,jessy,user91@gmail.com,male,WESTIND
92,lora,user92@gmail.com,female,WESTIND
101,meena,user101@gmail.com,female,WESTIND
104,meena,user104@gmail.com,male,WESTIND
106,Ravi,user106@gmail.com,female,WESTIND
124,jack,user124@gmail.com,male,WESTIND
133,arjun,user133@gmail.com,male,WESTIND
134,meena,user134@gmail.com,female,WESTIND
159,jack,user159@gmail.com,male,WESTIND
163,indra,user163@gmail.com,female,WESTIND
174,jessy,user174@gmail.com,female,WESTIND
179,Ravi,user179@gmail.com,female,WESTIND
185,meena,user185@gmail.com,female,WESTIND
186,laila,user186@gmail.com,female,WESTIND
191,jessy,user191@gmail.com,male,WESTIND
197,jessy,user197@gmail.com,male,WESTIND
199,arjun,user199@gmail.com,female,WESTIND
208,hari,user208@gmail.com,male,WESTIND
214,laila,user214@gmail.com,female,WESTIND
220,laila,user220@gmail.com,female,WESTIND
230,jack,user230@gmail.com,male,WESTIND
236,indra,user236@gmail.com,female,WESTIND
237,Ravi,user237@gmail.com,female,WESTIND
238,meena,user238@gmail.com,female,WESTIND
239,jessy,user239@gmail.com,male,WESTIND
245,jack,user245@gmail.com,female,WESTIND
260,kali,user260@gmail.com,female,WESTIND
266,lora,user266@gmail.com,male,WESTIND
268,indra,user268@gmail.com,male,WESTIND
278,indra,user278@gmail.com,female,WESTIND
281,arjun,user281@gmail.com,male,WESTIND
289,indra,user289@gmail.com,male,WESTIND
291,meena,user291@gmail.com,female,WESTIND
296,lora,user296@gmail.com,female,WESTIND
298,Ravi,user298@gmail.com,female,WESTIND
314,lora,user314@gmail.com,female,WESTIND
318,jessy,user318@gmail.com,male,WESTIND
323,arjun,user323@gmail.com,female,WESTIND
324,Ravi,user324@gmail.com,female,WESTIND
326,jack,user326@gmail.com,male,WESTIND
339,kali,user339@gmail.com,male,WESTIND
342,laila,user342@gmail.com,female,WESTIND
346,hari,user346@gmail.com,male,WESTIND
347,indra,user347@gmail.com,female,WESTIND
353,laila,user353@gmail.com,female,WESTIND
361,lora,user361@gmail.com,female,WESTIND
365,kali,user365@gmail.com,male,WESTIND
366,Ravi,user366@gmail.com,female,WESTIND
367,laila,user367@gmail.com,female,WESTIND
368,arjun,user368@gmail.com,male,WESTIND
376,hari,user376@gmail.com,male,WESTIND
381,Ravi,user381@gmail.com,male,WESTIND
390,meena,user390@gmail.com,male,WESTIND
409,jessy,user409@gmail.com,male,WESTIND
413,jessy,user413@gmail.com,female,WESTIND
416,jack,user416@gmail.com,female,WESTIND
419,hari,user419@gmail.com,male,WESTIND
426,jessy,user426@gmail.com,male,WESTIND
429,kali,user429@gmail.com,male,WESTIND
435,arjun,user435@gmail.com,female,WESTIND
438,laila,user438@gmail.com,male,WESTIND
440,lora,user440@gmail.com,male,WESTIND
460,meena,user460@gmail.com,female,WESTIND
467,arjun,user467@gmail.com,male,WESTIND
469,meena,user469@gmail.com,male,WESTIND
470,jessy,user470@gmail.com,male,WESTIND
472,indra,user472@gmail.com,female,WESTIND
473,meena,user473@gmail.com,female,WESTIND
475,meena,user475@gmail.com,male,WESTIND
487,indra,user487@gmail.com,female,WESTIND
494,arjun,user494@gmail.com,female,WESTIND
499,hari,user499@gmail.com,male,WESTIND
504,indra,user504@gmail.com,female,WESTIND
505,Ravi,user505@gmail.com,female,WESTIND
508,jessy,user508@gmail.com,female,WESTIND
511,arjun,user511@gmail.com,male,WESTIND
522,arjun,user522@gmail.com,male,WESTIND
526,kali,user526@gmail.com,male,WESTIND
532,jessy,user532@gmail.com,female,WESTIND
536,indra,user536@gmail.com,male,WESTIND
541,jessy,user541@gmail.com,male,WESTIND
546,meena,user546@gmail.com,male,WESTIND
547,hari,user547@gmail.com,female,WESTIND
554,lora,user554@gmail.com,male,WESTIND
572,jessy,user572@gmail.com,male,WESTIND
573,Ravi,user573@gmail.com,female,WESTIND
574,lora,user574@gmail.com,female,WESTIND
585,jack,user585@gmail.com,male,WESTIND
587,lora,user587@gmail.com,female,WESTIND
601,lora,user601@gmail.com,male,WESTIND
614,jessy,user614@gmail.com,male,WESTIND
623,jessy,user623@gmail.com,female,WESTIND
